Name,Mass_E24,Radius,Diameter,Color,Speed,Distance,Rotation_Per_Sec_With_Respect_To_Earth_Days
Sun,99,695700,1391400,sunmap,0,0,11.9988
Mercury,0.33,2439.7,4879,mercurymap,0.011363636,57.9,2.04545448
Venus,4.87,6051.8,12104,venusmap,0.004450378,108.2,-1.48148136
Earth,5.97,6378.1,12756,earthmap,0.002738226,149.6,360
Mars,0.642,3396.2,6792,marsmap,0.001455604,227.9,351.2195122
Jupiter,1898,71492,142984,jupitermap,0.000230894,778.3,872.7272726
Saturn,568,60268,120536,saturnmap,9.30E-05,1427,818.1818183
Uranus,86.8,25559,51118,uranusmap,3.27E-05,2871,-508.2352942
Neptune,102,24764,49528,neptunemap,1.67E-05,4497.1,540
Pluto,0.0146,1195,2370,plutomap,1.10E-05,5913,56.25
,,,,FFFF00,,,
,,,,CC6600,,,
,,,,FD992E,,,
,,,,earth,,,
,,,,9D7654,,,
,,,,BAA089,,,
,,,,FFD680,,,
,,,,7F99AA,,,
,,,,6F9BFE,,,
,,,,4A5FB0,,,
